,AdjD,AdjDRk,AdjEM,AdjO,AdjORk,AdjT,AdjTRk,Conf,Luck,LuckRk,NCSOS,NCSOSRk,OppD,OppDRk,OppO,OppORk,Rk,SOS,SOSRk,Sd,Team,W-L
262,107.1,258,-10.20,96.9,264,58.2,345,MEAC,+.080,22,+0.91,131,106.5,323,96.2,327,262,-10.30,328,,Delaware St.,17-12
263,106.5,248,-10.34,96.1,279,66.4,149,Ivy,-.036,267,-4.76,282,105.1,258,99.5,268,263,-5.55,268,,Yale,12-19
264,107.9,273,-10.35,97.5,254,66.7,129,OVC,-.060,307,-7.09,316,106.1,313,100.6,236,264,-5.52,267,,Jacksonville St.,11-19
265,106.8,253,-10.36,96.4,270,67.9,74,BSky,-.010,199,+2.98,83,104.2,225,104.0,132,265,-0.21,165,,Eastern Washington,9-21
266,102.3,166,-10.47,91.8,313,62.9,288,ASun,+.095,14,+8.44,18,103.5,187,101.6,206,266,-1.87,200,,North Florida,13-18
267,103.9,200,-10.52,93.4,300,66.4,147,SWAC,-.007,189,+8.28,19,105.6,288,94.4,342,267,-11.25,333,,Texas Southern,17-16
268,108.7,284,-10.59,98.1,245,64.2,248,ASun,+.012,128,-1.64,205,104.1,217,99.8,263,268,-4.29,246,,Kennesaw St.,13-20
269,102.0,159,-10.65,91.4,317,60.7,330,Sum,-.017,225,-7.20,320,105.8,298,98.9,284,269,-6.89,291,,Western Illinois,13-17
270,110.8,311,-10.97,99.8,217,67.1,111,NEC,+.009,143,-1.06,182,105.2,265,95.7,333,270,-9.49,321,,LIU Brooklyn,14-17
271,107.2,262,-11.06,96.2,278,71.2,13,MEAC,-.026,245,+1.41,120,104.6,243,97.0,315,271,-7.61,299,,Norfolk St.,11-19
272,109.2,290,-11.07,98.1,244,62.5,300,AE,+.045,69,+2.22,100,104.3,229,100.9,227,272,-3.36,231,,Binghamton,13-18
273,110.7,310,-11.17,99.6,221,61.4,318,Slnd,+.013,127,+6.71,36,104.1,222,102.2,184,273,-1.95,201,,Nicholls St.,11-19
274,104.9,223,-11.38,93.5,299,64.1,253,SWAC,+.143,2,+5.70,48,105.9,306,94.5,341,274,-11.44,336,8,Jackson St.,19-13
275,110.5,305,-11.41,99.1,230,69.1,44,NEC,+.011,133,-5.57,296,107.1,338,95.9,330,275,-11.26,334,,Sacred Heart,14-15
276,108.7,285,-11.43,97.2,258,70.8,17,BSth,+.068,37,+8.72,14,105.2,269,98.1,303,276,-7.14,292,,UNC Asheville,15-16
277,103.6,188,-11.63,92.0,312,65.1,218,ASun,-.066,316,+8.14,22,102.8,168,100.9,226,277,-1.83,199,,USC Upstate,6-23
278,115.6,345,-11.85,103.8,156,62.5,299,BSky,-.009,194,+10.32,7,102.5,155,104.8,103,278,+2.33,127,,Idaho St.,7-22
279,110.9,313,-11.86,99.0,232,65.4,202,Slnd,-.022,238,+1.61,112,104.4,235,100.4,246,279,-4.06,242,,McNeese St.,10-20
280,110.3,301,-11.87,98.4,240,66.1,168,SB,+.049,62,-0.88,169,105.2,266,100.6,237,280,-4.61,250,,Louisiana Monroe,12-19
281,111.6,324,-11.99,99.6,220,65.5,196,SB,-.022,239,+8.46,17,104.2,224,102.4,178,281,-1.79,198,,Arkansas Little Rock,8-22
282,108.4,278,-12.03,96.3,273,65.7,186,BSth,+.049,61,+5.12,53,105.6,285,98.3,297,282,-7.23,295,,Liberty,15-16
283,108.5,282,-12.07,96.4,271,67.7,83,Slnd,+.053,51,-3.54,257,104.7,250,100.1,257,283,-4.68,252,,Lamar,14-18
284,112.1,334,-12.16,100.0,215,66.1,169,Ivy,+.004,161,-1.20,190,103.3,186,99.6,266,284,-3.71,239,,Brown,11-20
285,108.2,276,-12.17,96.1,280,67.0,120,ind,-.015,216,-1.20,191,104.3,230,102.7,172,285,-1.66,196,,Cal St. Bakersfield,7-22
286,110.2,300,-12.20,98.0,247,65.5,197,WCC,-.001,174,-1.46,198,103.5,189,104.3,121,286,+0.77,153,,Pepperdine,7-24
287,109.6,295,-12.43,97.1,260,67.4,97,BSth,+.050,57,-3.63,258,106.6,327,96.6,323,287,-10.00,325,,High Point,15-15
288,105.8,235,-12.53,93.3,302,66.5,143,BSky,-.003,178,-0.96,176,104.4,237,102.8,169,288,-1.64,195,,Sacramento St.,9-21
289,106.2,242,-12.63,93.5,298,65.2,212,SWAC,+.022,110,+8.16,21,105.2,264,93.3,345,289,-11.86,339,,Alabama St.,16-15
